date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Tue, Oct 29, 2013|7:00p|Orlando Magic|87|Indiana Pacers|97|Box Score||18,165|
Tue, Oct 29, 2013|8:00p|Chicago Bulls|95|Miami Heat|107|Box Score||19,964|
Tue, Oct 29, 2013|10:30p|Los Angeles Clippers|103|Los Angeles Lakers|116|Box Score||18,997|
Wed, Oct 30, 2013|7:00p|Brooklyn Nets|94|Cleveland Cavaliers|98|Box Score||20,562|
Wed, Oct 30, 2013|7:00p|Boston Celtics|87|Toronto Raptors|93|Box Score||20,155|
Wed, Oct 30, 2013|7:00p|Miami Heat|110|Philadelphia 76ers|114|Box Score||19,523|
Wed, Oct 30, 2013|7:30p|Washington Wizards|102|Detroit Pistons|113|Box Score||19,258|
Wed, Oct 30, 2013|7:30p|Milwaukee Bucks|83|New York Knicks|90|Box Score||19,812|
Wed, Oct 30, 2013|8:00p|Indiana Pacers|95|New Orleans Pelicans|90|Box Score||17,803|
Wed, Oct 30, 2013|8:00p|Orlando Magic|115|Minnesota Timberwolves|120|Box Score|OT|17,988|
Wed, Oct 30, 2013|8:00p|Charlotte Bobcats|83|Houston Rockets|96|Box Score||18,083|
Wed, Oct 30, 2013|8:30p|Memphis Grizzlies|94|San Antonio Spurs|101|Box Score||18,581|
Wed, Oct 30, 2013|8:30p|Atlanta Hawks|109|Dallas Mavericks|118|Box Score||19,834|
Wed, Oct 30, 2013|9:00p|Oklahoma City Thunder|101|Utah Jazz|98|Box Score||19,911|
Wed, Oct 30, 2013|10:00p|Portland Trail Blazers|91|Phoenix Suns|104|Box Score||17,208|
Wed, Oct 30, 2013|10:00p|Denver Nuggets|88|Sacramento Kings|90|Box Score||17,317|
Wed, Oct 30, 2013|10:30p|Los Angeles Lakers|94|Golden State Warriors|125|Box Score||19,596|
Thu, Oct 31, 2013|8:00p|New York Knicks|81|Chicago Bulls|82|Box Score||22,022|
Thu, Oct 31, 2013|10:30p|Golden State Warriors|115|Los Angeles Clippers|126|Box Score||19,060|
