date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Sun, May 1, 2016|1:00p|Charlotte Hornets|73|Miami Heat|106|Box Score||19,868|
Sun, May 1, 2016|3:30p|Portland Trail Blazers|106|Golden State Warriors|118|Box Score||19,596|
Sun, May 1, 2016|8:00p|Indiana Pacers|84|Toronto Raptors|89|Box Score||20,669|
Mon, May 2, 2016|7:00p|Atlanta Hawks|93|Cleveland Cavaliers|104|Box Score||20,562|
Mon, May 2, 2016|9:30p|Oklahoma City Thunder|98|San Antonio Spurs|97|Box Score||18,418|
Tue, May 3, 2016|8:00p|Miami Heat|102|Toronto Raptors|96|Box Score|OT|19,800|
Tue, May 3, 2016|10:30p|Portland Trail Blazers|99|Golden State Warriors|110|Box Score||19,596|
Wed, May 4, 2016|8:00p|Atlanta Hawks|98|Cleveland Cavaliers|123|Box Score||20,562|
Thu, May 5, 2016|8:00p|Miami Heat|92|Toronto Raptors|96|Box Score|OT|20,906|
Fri, May 6, 2016|7:00p|Cleveland Cavaliers|121|Atlanta Hawks|108|Box Score||19,089|
Fri, May 6, 2016|9:30p|San Antonio Spurs|100|Oklahoma City Thunder|96|Box Score||18,203|
Sat, May 7, 2016|5:00p|Toronto Raptors|95|Miami Heat|91|Box Score||19,675|
Sat, May 7, 2016|8:30p|Golden State Warriors|108|Portland Trail Blazers|120|Box Score||19,673|
Sun, May 8, 2016|3:30p|Cleveland Cavaliers|100|Atlanta Hawks|99|Box Score||19,031|
Sun, May 8, 2016|8:00p|San Antonio Spurs|97|Oklahoma City Thunder|111|Box Score||18,203|
Mon, May 9, 2016|8:00p|Toronto Raptors|87|Miami Heat|94|Box Score|OT|19,600|
Mon, May 9, 2016|10:30p|Golden State Warriors|132|Portland Trail Blazers|125|Box Score|OT|19,583|
Tue, May 10, 2016|8:00p|Oklahoma City Thunder|95|San Antonio Spurs|91|Box Score||18,418|
Wed, May 11, 2016|8:00p|Miami Heat|91|Toronto Raptors|99|Box Score||20,155|
Wed, May 11, 2016|10:30p|Portland Trail Blazers|121|Golden State Warriors|125|Box Score||19,596|
Thu, May 12, 2016|8:30p|San Antonio Spurs|99|Oklahoma City Thunder|113|Box Score||18,203|
Fri, May 13, 2016|8:00p|Toronto Raptors|91|Miami Heat|103|Box Score||19,757|
Sun, May 15, 2016|3:30p|Miami Heat|89|Toronto Raptors|116|Box Score||20,257|
Mon, May 16, 2016|9:00p|Oklahoma City Thunder|108|Golden State Warriors|102|Box Score||19,596|
Tue, May 17, 2016|8:30p|Toronto Raptors|84|Cleveland Cavaliers|115|Box Score||20,562|
Wed, May 18, 2016|9:00p|Oklahoma City Thunder|91|Golden State Warriors|118|Box Score||19,596|
Thu, May 19, 2016|8:30p|Toronto Raptors|89|Cleveland Cavaliers|108|Box Score||20,562|
Sat, May 21, 2016|8:30p|Cleveland Cavaliers|84|Toronto Raptors|99|Box Score||20,207|
Sun, May 22, 2016|8:00p|Golden State Warriors|105|Oklahoma City Thunder|133|Box Score||18,203|
Mon, May 23, 2016|8:30p|Cleveland Cavaliers|99|Toronto Raptors|105|Box Score||20,367|
Tue, May 24, 2016|9:00p|Golden State Warriors|94|Oklahoma City Thunder|118|Box Score||18,203|
Wed, May 25, 2016|8:30p|Toronto Raptors|78|Cleveland Cavaliers|116|Box Score||20,562|
Thu, May 26, 2016|9:00p|Oklahoma City Thunder|111|Golden State Warriors|120|Box Score||19,596|
Fri, May 27, 2016|8:30p|Cleveland Cavaliers|113|Toronto Raptors|87|Box Score||20,605|
Sat, May 28, 2016|9:00p|Golden State Warriors|108|Oklahoma City Thunder|101|Box Score||18,203|
Mon, May 30, 2016|9:00p|Oklahoma City Thunder|88|Golden State Warriors|96|Box Score||19,596|
