date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Mon, Feb 1, 2016|7:00p|Cleveland Cavaliers|111|Indiana Pacers|106|Box Score|OT|17,283|
Mon, Feb 1, 2016|7:30p|Detroit Pistons|105|Brooklyn Nets|100|Box Score||13,290|
Mon, Feb 1, 2016|8:00p|Dallas Mavericks|97|Atlanta Hawks|112|Box Score||15,455|
Mon, Feb 1, 2016|8:00p|Memphis Grizzlies|110|New Orleans Pelicans|95|Box Score||15,210|
Mon, Feb 1, 2016|8:00p|Washington Wizards|98|Oklahoma City Thunder|114|Box Score||18,203|
Mon, Feb 1, 2016|8:30p|Orlando Magic|92|San Antonio Spurs|107|Box Score||18,418|
Mon, Feb 1, 2016|9:00p|Toronto Raptors|93|Denver Nuggets|112|Box Score||10,007|
Mon, Feb 1, 2016|9:00p|Chicago Bulls|96|Utah Jazz|105|Box Score|OT|18,811|
Mon, Feb 1, 2016|10:00p|Milwaukee Bucks|104|Sacramento Kings|111|Box Score||16,827|
Tue, Feb 2, 2016|7:30p|Boston Celtics|97|New York Knicks|89|Box Score||19,812|
Tue, Feb 2, 2016|8:00p|Miami Heat|102|Houston Rockets|115|Box Score||18,229|
Tue, Feb 2, 2016|9:00p|Toronto Raptors|104|Phoenix Suns|97|Box Score||15,897|
Tue, Feb 2, 2016|10:00p|Milwaukee Bucks|95|Portland Trail Blazers|107|Box Score||18,306|
Tue, Feb 2, 2016|10:30p|Minnesota Timberwolves|115|Los Angeles Lakers|119|Box Score||18,997|
Wed, Feb 3, 2016|7:00p|Cleveland Cavaliers|97|Charlotte Hornets|106|Box Score||19,189|
Wed, Feb 3, 2016|7:00p|Atlanta Hawks|124|Philadelphia 76ers|86|Box Score||10,429|
Wed, Feb 3, 2016|7:30p|Detroit Pistons|95|Boston Celtics|102|Box Score||17,297|
Wed, Feb 3, 2016|7:30p|Indiana Pacers|114|Brooklyn Nets|100|Box Score||13,311|
Wed, Feb 3, 2016|8:00p|Orlando Magic|114|Oklahoma City Thunder|117|Box Score||18,203|
Wed, Feb 3, 2016|8:00p|Golden State Warriors|134|Washington Wizards|121|Box Score||20,356|
Wed, Feb 3, 2016|8:30p|Miami Heat|93|Dallas Mavericks|90|Box Score||20,385|
Wed, Feb 3, 2016|8:30p|New Orleans Pelicans|97|San Antonio Spurs|110|Box Score||18,418|
Wed, Feb 3, 2016|9:00p|Denver Nuggets|81|Utah Jazz|85|Box Score||19,461|
Wed, Feb 3, 2016|10:00p|Chicago Bulls|107|Sacramento Kings|102|Box Score||17,317|
Wed, Feb 3, 2016|10:30p|Minnesota Timberwolves|108|Los Angeles Clippers|102|Box Score||19,060|
Thu, Feb 4, 2016|7:00p|New York Knicks|105|Detroit Pistons|111|Box Score||17,095|
Thu, Feb 4, 2016|9:00p|Houston Rockets|111|Phoenix Suns|105|Box Score||15,723|
Thu, Feb 4, 2016|9:30p|Los Angeles Lakers|99|New Orleans Pelicans|96|Box Score||18,420|
Thu, Feb 4, 2016|10:00p|Toronto Raptors|110|Portland Trail Blazers|103|Box Score||19,393|
Fri, Feb 5, 2016|7:00p|Indiana Pacers|96|Atlanta Hawks|102|Box Score||17,225|
Fri, Feb 5, 2016|7:00p|Miami Heat|98|Charlotte Hornets|95|Box Score||19,147|
