date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Wed, Mar 1, 2017|7:00p|New York Knicks|101|Orlando Magic|90|Box Score||16,005|
Wed, Mar 1, 2017|7:30p|Dallas Mavericks|95|Atlanta Hawks|100|Box Score||12,483|
Wed, Mar 1, 2017|7:30p|Philadelphia 76ers|98|Miami Heat|125|Box Score||19,609|
Wed, Mar 1, 2017|7:30p|Washington Wizards|105|Toronto Raptors|96|Box Score||19,800|
Wed, Mar 1, 2017|8:00p|Cleveland Cavaliers|99|Boston Celtics|103|Box Score||18,624|
Wed, Mar 1, 2017|8:00p|Denver Nuggets|110|Milwaukee Bucks|98|Box Score||13,214|
Wed, Mar 1, 2017|8:00p|Detroit Pistons|86|New Orleans Pelicans|109|Box Score||14,406|
Wed, Mar 1, 2017|8:30p|Indiana Pacers|99|San Antonio Spurs|100|Box Score||18,418|
Wed, Mar 1, 2017|9:00p|Minnesota Timberwolves|107|Utah Jazz|80|Box Score||19,127|
Wed, Mar 1, 2017|10:30p|Houston Rockets|122|Los Angeles Clippers|103|Box Score||19,060|
Wed, Mar 1, 2017|10:30p|Brooklyn Nets|109|Sacramento Kings|100|Box Score||17,608|
Thu, Mar 2, 2017|8:00p|Golden State Warriors|87|Chicago Bulls|94|Box Score||22,253|
Thu, Mar 2, 2017|9:00p|Charlotte Hornets|103|Phoenix Suns|120|Box Score||16,572|
Thu, Mar 2, 2017|10:30p|Oklahoma City Thunder|109|Portland Trail Blazers|114|Box Score||19,875|
Fri, Mar 3, 2017|7:00p|Cleveland Cavaliers|135|Atlanta Hawks|130|Box Score||18,877|
Fri, Mar 3, 2017|7:00p|Miami Heat|99|Orlando Magic|110|Box Score||17,136|
Fri, Mar 3, 2017|7:00p|New York Knicks|102|Philadelphia 76ers|105|Box Score||18,518|
Fri, Mar 3, 2017|7:00p|Toronto Raptors|114|Washington Wizards|106|Box Score||20,356|
Fri, Mar 3, 2017|8:00p|Los Angeles Clippers|101|Milwaukee Bucks|112|Box Score||16,208|
Fri, Mar 3, 2017|8:30p|Memphis Grizzlies|100|Dallas Mavericks|104|Box Score||19,480|
Fri, Mar 3, 2017|9:00p|Oklahoma City Thunder|111|Phoenix Suns|118|Box Score||18,055|
Fri, Mar 3, 2017|9:00p|Brooklyn Nets|97|Utah Jazz|112|Box Score||19,911|
Fri, Mar 3, 2017|9:30p|San Antonio Spurs|101|New Orleans Pelicans|98|Box Score|OT|17,669|
Fri, Mar 3, 2017|10:30p|Boston Celtics|115|Los Angeles Lakers|95|Box Score||18,997|
