date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Sat, Feb 1, 2014|7:00p|Brooklyn Nets|96|Indiana Pacers|97|Box Score||18,165|
Sat, Feb 1, 2014|7:00p|Oklahoma City Thunder|81|Washington Wizards|96|Box Score||20,356|
Sat, Feb 1, 2014|7:30p|Minnesota Timberwolves|113|Atlanta Hawks|120|Box Score||13,018|
Sat, Feb 1, 2014|7:30p|Philadelphia 76ers|96|Detroit Pistons|113|Box Score||16,649|
Sat, Feb 1, 2014|8:00p|Cleveland Cavaliers|92|Houston Rockets|106|Box Score||18,309|
Sat, Feb 1, 2014|8:00p|Milwaukee Bucks|90|Memphis Grizzlies|99|Box Score||17,017|
Sat, Feb 1, 2014|8:00p|Chicago Bulls|79|New Orleans Pelicans|88|Box Score||17,799|
Sat, Feb 1, 2014|8:30p|Miami Heat|106|New York Knicks|91|Box Score||19,812|
Sat, Feb 1, 2014|8:30p|Sacramento Kings|93|San Antonio Spurs|95|Box Score||18,581|
Sat, Feb 1, 2014|9:00p|Charlotte Bobcats|95|Phoenix Suns|105|Box Score||16,248|
Sat, Feb 1, 2014|10:00p|Toronto Raptors|103|Portland Trail Blazers|106|Box Score||19,996|
Sat, Feb 1, 2014|10:30p|Utah Jazz|87|Los Angeles Clippers|102|Box Score||19,060|
Sun, Feb 2, 2014|1:00p|Orlando Magic|89|Boston Celtics|96|Box Score||18,624|
Mon, Feb 3, 2014|7:00p|Orlando Magic|79|Indiana Pacers|98|Box Score||16,266|
Mon, Feb 3, 2014|7:00p|Portland Trail Blazers|90|Washington Wizards|100|Box Score||13,259|
Mon, Feb 3, 2014|7:30p|Philadelphia 76ers|102|Brooklyn Nets|108|Box Score||16,727|
Mon, Feb 3, 2014|7:30p|Detroit Pistons|96|Miami Heat|102|Box Score||19,802|
Mon, Feb 3, 2014|8:00p|New York Knicks|98|Milwaukee Bucks|101|Box Score||11,147|
Mon, Feb 3, 2014|8:00p|San Antonio Spurs|102|New Orleans Pelicans|95|Box Score||17,086|
Mon, Feb 3, 2014|8:00p|Memphis Grizzlies|77|Oklahoma City Thunder|86|Box Score||18,203|
Mon, Feb 3, 2014|8:30p|Cleveland Cavaliers|107|Dallas Mavericks|124|Box Score||19,595|
Mon, Feb 3, 2014|9:00p|Los Angeles Clippers|115|Denver Nuggets|116|Box Score||16,567|
Mon, Feb 3, 2014|9:00p|Toronto Raptors|94|Utah Jazz|79|Box Score||17,139|
Mon, Feb 3, 2014|10:00p|Chicago Bulls|70|Sacramento Kings|99|Box Score||15,178|
Tue, Feb 4, 2014|7:30p|Indiana Pacers|89|Atlanta Hawks|85|Box Score||15,374|
Tue, Feb 4, 2014|8:00p|Los Angeles Lakers|99|Minnesota Timberwolves|109|Box Score||12,559|
Tue, Feb 4, 2014|9:00p|Chicago Bulls|101|Phoenix Suns|92|Box Score||16,636|
Tue, Feb 4, 2014|10:30p|Charlotte Bobcats|91|Golden State Warriors|75|Box Score||19,596|
Wed, Feb 5, 2014|7:00p|Los Angeles Lakers|119|Cleveland Cavaliers|108|Box Score||15,205|
Wed, Feb 5, 2014|7:00p|Detroit Pistons|98|Orlando Magic|112|Box Score||15,166|
Wed, Feb 5, 2014|7:00p|Boston Celtics|114|Philadelphia 76ers|108|Box Score||10,267|
Wed, Feb 5, 2014|7:00p|San Antonio Spurs|125|Washington Wizards|118|Box Score|2OT|15,791|
Wed, Feb 5, 2014|8:00p|Phoenix Suns|108|Houston Rockets|122|Box Score||18,217|
Wed, Feb 5, 2014|8:00p|Dallas Mavericks|110|Memphis Grizzlies|96|Box Score||16,188|
Wed, Feb 5, 2014|8:00p|Atlanta Hawks|100|New Orleans Pelicans|105|Box Score||16,232|
Wed, Feb 5, 2014|8:00p|Portland Trail Blazers|94|New York Knicks|90|Box Score||19,812|
Wed, Feb 5, 2014|8:00p|Minnesota Timberwolves|97|Oklahoma City Thunder|106|Box Score||18,203|
Wed, Feb 5, 2014|9:00p|Milwaukee Bucks|100|Denver Nuggets|110|Box Score||15,122|
Wed, Feb 5, 2014|10:00p|Toronto Raptors|101|Sacramento Kings|109|Box Score||17,317|
Wed, Feb 5, 2014|10:30p|Miami Heat|116|Los Angeles Clippers|112|Box Score||19,672|
Thu, Feb 6, 2014|8:00p|San Antonio Spurs|89|Brooklyn Nets|103|Box Score||17,732|
Thu, Feb 6, 2014|10:30p|Chicago Bulls|87|Golden State Warriors|102|Box Score||19,596|
Fri, Feb 7, 2014|7:00p|Portland Trail Blazers|113|Indiana Pacers|118|Box Score|OT|18,165|
Fri, Feb 7, 2014|7:00p|Oklahoma City Thunder|102|Orlando Magic|103|Box Score||15,595|
Fri, Feb 7, 2014|7:00p|Los Angeles Lakers|112|Philadelphia 76ers|98|Box Score||15,211|
Fri, Feb 7, 2014|7:00p|Cleveland Cavaliers|115|Washington Wizards|113|Box Score||16,294|
Fri, Feb 7, 2014|7:30p|Sacramento Kings|89|Boston Celtics|99|Box Score||18,624|
Fri, Feb 7, 2014|7:30p|Brooklyn Nets|95|Detroit Pistons|111|Box Score||13,727|
Fri, Feb 7, 2014|7:30p|Denver Nuggets|90|New York Knicks|117|Box Score||19,812|
Fri, Feb 7, 2014|8:30p|Utah Jazz|81|Dallas Mavericks|103|Box Score||19,928|
Fri, Feb 7, 2014|9:30p|Minnesota Timberwolves|91|New Orleans Pelicans|98|Box Score||16,541|
Fri, Feb 7, 2014|10:30p|Toronto Raptors|105|Los Angeles Clippers|118|Box Score||19,060|
Sat, Feb 8, 2014|7:00p|San Antonio Spurs|104|Charlotte Bobcats|100|Box Score||19,084|
Sat, Feb 8, 2014|7:30p|Memphis Grizzlies|79|Atlanta Hawks|76|Box Score||15,190|
Sat, Feb 8, 2014|7:30p|Denver Nuggets|109|Detroit Pistons|126|Box Score||15,870|
