date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Tue, Oct 26, 2010|7:30p|Miami Heat|80|Boston Celtics|88|Box Score||18,624|
Tue, Oct 26, 2010|10:00p|Phoenix Suns|92|Portland Trail Blazers|106|Box Score||20,603|
Tue, Oct 26, 2010|10:30p|Houston Rockets|110|Los Angeles Lakers|112|Box Score||18,997|
Wed, Oct 27, 2010|7:00p|Boston Celtics|87|Cleveland Cavaliers|95|Box Score||20,562|
Wed, Oct 27, 2010|7:00p|New York Knicks|98|Toronto Raptors|93|Box Score||18,722|
Wed, Oct 27, 2010|7:00p|Miami Heat|97|Philadelphia 76ers|87|Box Score||20,389|
Wed, Oct 27, 2010|7:00p|Detroit Pistons|98|New Jersey Nets|101|Box Score||15,178|
Wed, Oct 27, 2010|8:00p|Chicago Bulls|95|Oklahoma City Thunder|106|Box Score||18,203|
Wed, Oct 27, 2010|8:00p|Milwaukee Bucks|91|New Orleans Hornets|95|Box Score||15,039|
Wed, Oct 27, 2010|8:00p|Sacramento Kings|117|Minnesota Timberwolves|116|Box Score||17,067|
Wed, Oct 27, 2010|8:00p|Atlanta Hawks|119|Memphis Grizzlies|104|Box Score||17,519|
Wed, Oct 27, 2010|8:30p|Indiana Pacers|109|San Antonio Spurs|122|Box Score||18,581|
Wed, Oct 27, 2010|8:30p|Charlotte Bobcats|86|Dallas Mavericks|101|Box Score||19,440|
Wed, Oct 27, 2010|9:00p|Utah Jazz|88|Denver Nuggets|110|Box Score||19,155|
Wed, Oct 27, 2010|10:30p|Portland Trail Blazers|98|Los Angeles Clippers|88|Box Score||18,382|
Wed, Oct 27, 2010|10:30p|Houston Rockets|128|Golden State Warriors|132|Box Score||18,428|
Thu, Oct 28, 2010|8:00p|Washington Wizards|83|Orlando Magic|112|Box Score||18,918|
Thu, Oct 28, 2010|10:30p|Phoenix Suns|110|Utah Jazz|94|Box Score||19,911|
Fri, Oct 29, 2010|7:00p|Indiana Pacers|104|Charlotte Bobcats|101|Box Score||18,351|
Fri, Oct 29, 2010|7:00p|Cleveland Cavaliers|81|Toronto Raptors|101|Box Score||15,711|
Fri, Oct 29, 2010|7:00p|Atlanta Hawks|104|Philadelphia 76ers|101|Box Score||10,960|
Fri, Oct 29, 2010|7:00p|Sacramento Kings|100|New Jersey Nets|106|Box Score||13,482|
Fri, Oct 29, 2010|7:30p|New York Knicks|101|Boston Celtics|105|Box Score||18,624|
Fri, Oct 29, 2010|8:00p|Oklahoma City Thunder|105|Detroit Pistons|104|Box Score||22,076|
Fri, Oct 29, 2010|8:00p|Denver Nuggets|95|New Orleans Hornets|101|Box Score||12,474|
Fri, Oct 29, 2010|8:00p|Orlando Magic|70|Miami Heat|96|Box Score||19,600|
Fri, Oct 29, 2010|8:00p|Milwaukee Bucks|85|Minnesota Timberwolves|96|Box Score||17,197|
Fri, Oct 29, 2010|8:30p|Memphis Grizzlies|91|Dallas Mavericks|90|Box Score||20,060|
Fri, Oct 29, 2010|10:30p|Los Angeles Clippers|91|Golden State Warriors|109|Box Score||17,408|
Fri, Oct 29, 2010|10:30p|Los Angeles Lakers|114|Phoenix Suns|106|Box Score||18,422|
Sat, Oct 30, 2010|7:00p|Washington Wizards|95|Atlanta Hawks|99|Box Score||18,729|
Sat, Oct 30, 2010|7:30p|Portland Trail Blazers|100|New York Knicks|95|Box Score||19,763|
Sat, Oct 30, 2010|7:30p|Sacramento Kings|107|Cleveland Cavaliers|104|Box Score||20,562|
Sat, Oct 30, 2010|8:00p|Philadelphia 76ers|86|Indiana Pacers|99|Box Score||18,165|
Sat, Oct 30, 2010|8:00p|Minnesota Timberwolves|89|Memphis Grizzlies|109|Box Score||12,753|
Sat, Oct 30, 2010|8:00p|Detroit Pistons|91|Chicago Bulls|101|Box Score||21,038|
Sat, Oct 30, 2010|8:30p|Denver Nuggets|107|Houston Rockets|94|Box Score||18,161|
Sat, Oct 30, 2010|8:30p|Charlotte Bobcats|88|Milwaukee Bucks|98|Box Score||16,519|
Sat, Oct 30, 2010|8:30p|New Orleans Hornets|99|San Antonio Spurs|90|Box Score||18,581|
Sun, Oct 31, 2010|1:00p|Miami Heat|101|New Jersey Nets|78|Box Score||17,086|
Sun, Oct 31, 2010|3:30p|Dallas Mavericks|99|Los Angeles Clippers|83|Box Score||13,718|
Sun, Oct 31, 2010|7:00p|Utah Jazz|120|Oklahoma City Thunder|99|Box Score||18,203|
Sun, Oct 31, 2010|9:30p|Golden State Warriors|83|Los Angeles Lakers|107|Box Score||18,997|
