date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Tue, Oct 30, 2012|7:00p|Washington Wizards|84|Cleveland Cavaliers|94|Box Score||20,562|
Tue, Oct 30, 2012|8:00p|Boston Celtics|107|Miami Heat|120|Box Score||20,296|
Tue, Oct 30, 2012|10:30p|Dallas Mavericks|99|Los Angeles Lakers|91|Box Score||18,997|
Wed, Oct 31, 2012|7:00p|Denver Nuggets|75|Philadelphia 76ers|84|Box Score||19,101|
Wed, Oct 31, 2012|7:00p|Indiana Pacers|90|Toronto Raptors|88|Box Score||19,800|
Wed, Oct 31, 2012|7:30p|Houston Rockets|105|Detroit Pistons|96|Box Score||16,646|
Wed, Oct 31, 2012|8:00p|Sacramento Kings|87|Chicago Bulls|93|Box Score||21,313|
Wed, Oct 31, 2012|8:00p|San Antonio Spurs|99|New Orleans Hornets|95|Box Score||15,358|
Wed, Oct 31, 2012|9:00p|Dallas Mavericks|94|Utah Jazz|113|Box Score||17,634|
Wed, Oct 31, 2012|10:00p|Golden State Warriors|87|Phoenix Suns|85|Box Score||15,678|
Wed, Oct 31, 2012|10:30p|Memphis Grizzlies|92|Los Angeles Clippers|101|Box Score||19,060|
Wed, Oct 31, 2012|10:30p|Los Angeles Lakers|106|Portland Trail Blazers|116|Box Score||20,401|
