date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Thu, Mar 1, 2012|8:00p|Oklahoma City Thunder|105|Orlando Magic|102|Box Score||18,846|
Thu, Mar 1, 2012|9:00p|Minnesota Timberwolves|95|Phoenix Suns|104|Box Score||15,071|
Thu, Mar 1, 2012|10:00p|Los Angeles Clippers|108|Sacramento Kings|100|Box Score||15,512|
Thu, Mar 1, 2012|10:30p|Miami Heat|107|Portland Trail Blazers|93|Box Score||20,597|
Fri, Mar 2, 2012|7:00p|Memphis Grizzlies|102|Toronto Raptors|99|Box Score||17,168|
Fri, Mar 2, 2012|7:30p|Milwaukee Bucks|94|Atlanta Hawks|99|Box Score||13,311|
Fri, Mar 2, 2012|7:30p|New Jersey Nets|94|Boston Celtics|107|Box Score||18,624|
Fri, Mar 2, 2012|7:30p|Chicago Bulls|112|Cleveland Cavaliers|91|Box Score||20,562|
Fri, Mar 2, 2012|8:00p|Denver Nuggets|117|Houston Rockets|105|Box Score||16,879|
Fri, Mar 2, 2012|8:00p|Dallas Mavericks|92|New Orleans Hornets|97|Box Score||15,568|
Fri, Mar 2, 2012|8:00p|Golden State Warriors|83|Philadelphia 76ers|105|Box Score||18,323|
Fri, Mar 2, 2012|8:30p|Charlotte Bobcats|72|San Antonio Spurs|102|Box Score||18,581|
Fri, Mar 2, 2012|9:00p|Miami Heat|98|Utah Jazz|99|Box Score||19,911|
Fri, Mar 2, 2012|10:30p|Sacramento Kings|107|Los Angeles Lakers|115|Box Score||18,997|
Fri, Mar 2, 2012|10:30p|Los Angeles Clippers|78|Phoenix Suns|81|Box Score||18,091|
Sat, Mar 3, 2012|7:00p|Oklahoma City Thunder|90|Atlanta Hawks|97|Box Score||18,087|
Sat, Mar 3, 2012|7:00p|Milwaukee Bucks|98|Orlando Magic|114|Box Score||18,846|
Sat, Mar 3, 2012|7:00p|Cleveland Cavaliers|98|Washington Wizards|101|Box Score||17,759|
Sat, Mar 3, 2012|8:00p|Detroit Pistons|83|Memphis Grizzlies|100|Box Score||17,569|
Sat, Mar 3, 2012|8:00p|Indiana Pacers|102|New Orleans Hornets|84|Box Score||16,379|
Sat, Mar 3, 2012|8:30p|Utah Jazz|96|Dallas Mavericks|102|Box Score||20,560|
Sat, Mar 3, 2012|10:00p|Minnesota Timberwolves|122|Portland Trail Blazers|110|Box Score||20,644|
Sun, Mar 4, 2012|1:00p|New York Knicks|111|Boston Celtics|115|Box Score|OT|18,624|
Sun, Mar 4, 2012|3:30p|Miami Heat|83|Los Angeles Lakers|93|Box Score||18,997|
Sun, Mar 4, 2012|6:00p|New Jersey Nets|104|Charlotte Bobcats|101|Box Score||13,564|
Sun, Mar 4, 2012|6:00p|Golden State Warriors|75|Toronto Raptors|83|Box Score||18,056|
Sun, Mar 4, 2012|7:00p|Los Angeles Clippers|105|Houston Rockets|103|Box Score|OT|16,646|
Sun, Mar 4, 2012|7:00p|Chicago Bulls|96|Philadelphia 76ers|91|Box Score||19,683|
