date|time|visitor_team|visitor_pts|home_team|home_pts|box|ot|attendance|notes
Sun, May 1, 2011|1:00p|Memphis Grizzlies|114|Oklahoma City Thunder|101|Box Score||18,203|
Sun, May 1, 2011|3:30p|Boston Celtics|90|Miami Heat|99|Box Score||20,021|
Mon, May 2, 2011|8:00p|Atlanta Hawks|103|Chicago Bulls|95|Box Score||22,890|
Mon, May 2, 2011|10:30p|Dallas Mavericks|96|Los Angeles Lakers|94|Box Score||18,997|
Tue, May 3, 2011|7:00p|Boston Celtics|91|Miami Heat|102|Box Score||20,104|
Tue, May 3, 2011|9:30p|Memphis Grizzlies|102|Oklahoma City Thunder|111|Box Score||18,203|
Wed, May 4, 2011|8:00p|Atlanta Hawks|73|Chicago Bulls|86|Box Score||22,872|
Wed, May 4, 2011|10:30p|Dallas Mavericks|93|Los Angeles Lakers|81|Box Score||18,997|
Fri, May 6, 2011|7:00p|Chicago Bulls|99|Atlanta Hawks|82|Box Score||19,521|
Fri, May 6, 2011|9:30p|Los Angeles Lakers|92|Dallas Mavericks|98|Box Score||21,156|
Sat, May 7, 2011|5:00p|Oklahoma City Thunder|93|Memphis Grizzlies|101|Box Score|OT|18,119|
Sat, May 7, 2011|8:00p|Miami Heat|81|Boston Celtics|97|Box Score||18,624|
Sun, May 8, 2011|3:30p|Los Angeles Lakers|86|Dallas Mavericks|122|Box Score||21,087|
Sun, May 8, 2011|8:00p|Chicago Bulls|88|Atlanta Hawks|100|Box Score||19,263|
Mon, May 9, 2011|7:00p|Miami Heat|98|Boston Celtics|90|Box Score|OT|18,624|
Mon, May 9, 2011|9:30p|Oklahoma City Thunder|133|Memphis Grizzlies|123|Box Score|3OT|18,119|
Tue, May 10, 2011|8:00p|Atlanta Hawks|83|Chicago Bulls|95|Box Score||22,980|
Wed, May 11, 2011|7:00p|Boston Celtics|87|Miami Heat|97|Box Score||20,208|
Wed, May 11, 2011|9:30p|Memphis Grizzlies|72|Oklahoma City Thunder|99|Box Score||18,203|
Thu, May 12, 2011|8:00p|Chicago Bulls|93|Atlanta Hawks|73|Box Score||19,378|
Fri, May 13, 2011|9:00p|Oklahoma City Thunder|83|Memphis Grizzlies|95|Box Score||18,119|
Sun, May 15, 2011|3:30p|Memphis Grizzlies|90|Oklahoma City Thunder|105|Box Score||18,203|
Sun, May 15, 2011|8:00p|Miami Heat|82|Chicago Bulls|103|Box Score||22,874|
Tue, May 17, 2011|9:00p|Oklahoma City Thunder|112|Dallas Mavericks|121|Box Score||20,911|
Wed, May 18, 2011|8:30p|Miami Heat|85|Chicago Bulls|75|Box Score||23,007|
Thu, May 19, 2011|9:00p|Oklahoma City Thunder|106|Dallas Mavericks|100|Box Score||21,051|
Sat, May 21, 2011|9:00p|Dallas Mavericks|93|Oklahoma City Thunder|87|Box Score||18,203|
Sun, May 22, 2011|8:30p|Chicago Bulls|85|Miami Heat|96|Box Score||20,123|
Mon, May 23, 2011|9:00p|Dallas Mavericks|112|Oklahoma City Thunder|105|Box Score|OT|18,203|
Tue, May 24, 2011|8:30p|Chicago Bulls|93|Miami Heat|101|Box Score|OT|20,125|
Wed, May 25, 2011|9:00p|Oklahoma City Thunder|96|Dallas Mavericks|100|Box Score||21,092|
Thu, May 26, 2011|8:30p|Miami Heat|83|Chicago Bulls|80|Box Score||23,057|
Tue, May 31, 2011|9:00p|Dallas Mavericks|84|Miami Heat|92|Box Score||20,003|
